month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,adjusted_resale_price,transaction_year,transaction_month,region,storey_classification,storey_coded,region_coded,address,latitude,longitude,coordinates,postal_code,sector_code,distance_from_CBD,nearest_station,nearest_station_distance,nearest_mall,nearest_mall_distance,adjusted_price_per_sqm,storey_avg,remaining_months,KMeanscluster
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 04 months,232000.0,291256.1613,2017,1,NORTH-EAST,high,3,3,406 ANG MO KIO AVE 10,1.362004539,103.8538799,"('1.36200453938712', '103.853879910407')",560406,56,8.685298318796955,Ang Mo Kio,0.9609381939536732,AMK Hub,1.017285728497016,6619.458211363636,11,736,4
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,60 years 07 months,250000.0,313853.6221,2017,1,NORTH-EAST,low,1,3,108 ANG MO KIO AVE 4,1.370966352,103.8382019,"('1.37096635222625', '103.838201940326')",560108,56,9.78928724137089,Mayflower,0.189870540014845,Broadway Plaza,0.8679827318097251,4684.382419402985,2,727,3
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,262000.0,328918.596,2017,1,NORTH-EAST,low,1,3,602 ANG MO KIO AVE 5,1.38070883,103.8353682,"('1.38070883044887', '103.835368226602')",560602,56,10.908693650073715,Lentor,0.5351176193563987,Broadway Plaza,1.528024459908225,4909.232776119403,2,749,1
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,62 years 01 month,265000.0,332684.8394,2017,1,NORTH-EAST,mid,2,3,465 ANG MO KIO AVE 10,1.366201041,103.857201,"('1.3662010408294', '103.857200967235')",560465,56,9.169983731520604,Ang Mo Kio,0.9328444221403972,myVillage At Serangoon Garden,0.8929003613340138,4892.424108823529,5,745,4
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,265000.0,332684.8394,2017,1,NORTH-EAST,low,1,3,601 ANG MO KIO AVE 5,1.381041348,103.8351317,"('1.38104134784496', '103.835131744823')",560601,56,10.949497345711809,Lentor,0.5011525903581967,Broadway Plaza,1.5719064302541086,4965.445364179104,2,749,1
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,63 years,275000.0,345238.9843,2017,1,NORTH-EAST,low,1,3,150 ANG MO KIO AVE 5,1.376806785,103.842018,"('1.37680678506745', '103.842017962576')",560150,56,10.380316764678865,Yio Chu Kang,0.634956994295396,Broadway Plaza,0.6958301053178072,5077.043886764706,2,756,1
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,280000.0,351516.0568,2017,1,NORTH-EAST,mid,2,3,447 ANG MO KIO AVE 10,1.367503711,103.855898,"('1.36750371103856', '103.855897952833')",560447,56,9.305691649265215,Ang Mo Kio,0.7474980279021104,AMK Hub,0.8510650908851486,5169.353776470589,5,738,4
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,58 years 04 months,285000.0,357793.1292,2017,1,NORTH-EAST,mid,2,3,218 ANG MO KIO AVE 1,1.365119076,103.8417425,"('1.36511907555698', '103.841742483384')",560218,56,9.091906545615824,Bright Hill,0.8832917571776564,AMK Hub,0.8866011259079315,5340.195958208956,5,700,0
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,285000.0,357793.1292,2017,1,NORTH-EAST,mid,2,3,447 ANG MO KIO AVE 10,1.367503711,103.855898,"('1.36750371103856', '103.855897952833')",560447,56,9.305691649265215,Ang Mo Kio,0.7474980279021104,AMK Hub,0.8510650908851486,5261.663664705883,5,738,4
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,61 years 04 months,285000.0,357793.1292,2017,1,NORTH-EAST,low,1,3,571 ANG MO KIO AVE 3,1.370055004,103.8548806,"('1.37005500420092', '103.854880566919')",560571,56,9.583846914157592,Ang Mo Kio,0.607111847136287,AMK Hub,0.7155778073559987,5340.195958208956,2,736,2
